company,served_airports_pr_period,neigh_airports_pr_period,pair,airport_type,population,megapolis,tourist,distance_km,distance_km_squared,entry,entry_2
AFL,9,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
SDM,4,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
HZ,2,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
AUL,0,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
5N,0,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
RT,0,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
SHU,0,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
WZ,2,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
DP,4,1.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
7R,2,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
DRU,0,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
KAR,0,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
U6,6,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
KZN,0,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
RSJ,0,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
S7,22,8.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
Y7,4,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
R3,4,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
UVT,0,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
N4,5,1.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
FV,11,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
RSD,2,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
UT,13,1.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
SU,26,2.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
NWS,3,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
YC,4,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
A4,4,0.0,CEK_OVB,1,1392.4173225006934,2,0,1340.9090084186691,1798036.9688583384,0.0,0
AFL,9,0.0,KHV_OVB,1,998.4157450681555,1,0,3609.6004054139844,13029215.086764801,0.0,0
